Ligand_inchi,Base_inchi,Solvent_inchi,Product_inchi,Electrophile_inchi,Nucleophile_inchi,Precatalyst_inchi,Base,Electrophile,Electrophile_PCI_Name,Ligand,Nucleophile,Nucleophile_PCI_Name,Precatalyst,Product,Solvent,Screen_ID,umol_Screen,Entry,Well,Row,Column,Base_Equiv,Electrophile_Equiv,Ligand_Equiv,Nucleophile_Equiv,Precatalyst_Equiv,Concentration,Time_h,Temp_C,SampleName,Vial,AP_ISO,AP_PDT,AP_STD,Mean_AP,Max_AP,SD_AP,Z_Score_AP,RelYield_PDT,Mean_RY,Max_RY,SD_RY,Z_Score_RY,Yield,Mean_Yield,Max_Yield,SD_Yield,Z_Score_Yield,Product_MW,Solvent_density,Solvent_mass,Product_mg,Base_Cost,Base_amt,Base_MW,Base_price.mol,Solvent_Cost,Solvent_amt,Solvent_MW,Solvent_price.mol,Ligand_Cost,Ligand_amt,Ligand_MW,Ligand_price.mol,Ligand_dol,Base_dol,Solvent_dol,reagent_cost,Nucleophile_MW,Electrophile_MW,Precatalyst_MW,Nucleophile_mg,Electrophile_mg,Precatalyst_mg,Ligand_mg,Base_mg,Total_mg,PMI
"InChI=1S/C35H53O2P/c1-23(2)26-21-29(24(3)4)33(30(22-26)25(5)6)34-31(36-7)19-20-32(37-8)35(34)38(27-15-11-9-12-16-27)28-17-13-10-14-18-28/h19-25,27-28H,9-18H2,1-8H3","InChI=1S/C2H4O2.K/c1-2(3)4;/h1H3,(H,3,4);/q;+1/p-1",InChI=1S/C4H9NO/c1-4(6)5(2)3/h1-3H3,"InChI=1S/C11H8FN3/c1-15-7-14-10(6-13)11(15)8-4-2-3-5-9(8)12/h2-5,7H,1H3",InChI=1S/C6H4BrF/c7-5-3-1-2-4-6(5)8/h1-4H,"InChI=1S/C5H5N3/c1-8-3-5(2-6)7-4-8/h3-4H,1H3","InChI=1S/2C3H5.2ClH.2Pd/c2*1-3-2;;;;/h2*3H,1-2H2;2*1H;;/q2*-1;;;2*+2/p-2",KOAc,1-Bromo-2-fluorobenzene,7,BrettPhos,1-Methyl-1H-imidazole-4-carbonitrile,C,[(Allyl)PdCl]2,C7,DMAc,ReqID_A24A8_090_001,15,1,1,A,1,3,1,0.05,2,0.0225,0.1,24,105,A24A8_090_001_01,"4:A,1",0,17.612,71.885,21.97457292,70.656,23.36701148,-0.18669794,0.245002434,0.754785936,3.101395839,0.911052902,-0.559554227,5.47,21.15354167,95.07,28.69721336,-0.559411169,201.204,0.937,0.14055,0.165087882,100,36.2,98.14,271.1049724,179,1874,87.12,8.32149413,29.7,0.1,536.77,159420.69,2.2275e-5,0.0045,0.2887792699724518,0.2933015449724518,107.116,175,365.85,3.21348,2.625,0.123474375,0.4025775,4.4163,151.49591975700002,917.668322602867
"InChI=1S/C14H23P/c1-13(2,3)15(14(4,5)6)12-10-8-7-9-11-12/h7-11H,1-6H3","InChI=1S/C2H4O2.K/c1-2(3)4;/h1H3,(H,3,4);/q;+1/p-1",InChI=1S/C4H9NO/c1-4(6)5(2)3/h1-3H3,"InChI=1S/C11H8FN3/c1-15-7-14-10(6-13)11(15)8-4-2-3-5-9(8)12/h2-5,7H,1H3",InChI=1S/C6H4BrF/c7-5-3-1-2-4-6(5)8/h1-4H,"InChI=1S/C5H5N3/c1-8-3-5(2-6)7-4-8/h3-4H,1H3","InChI=1S/2C3H5.2ClH.2Pd/c2*1-3-2;;;;/h2*3H,1-2H2;2*1H;;/q2*-1;;;2*+2/p-2",KOAc,1-Bromo-2-fluorobenzene,7,PPhtBu2,1-Methyl-1H-imidazole-4-carbonitrile,C,[(Allyl)PdCl]2,C7,DMAc,ReqID_A24A8_090_001,15,2,2,A,2,3,1,0.05,2,0.0225,0.1,24,105,A24A8_090_001_02,"4:A,2",0,3.319,82.286,21.97457292,70.656,23.36701148,-0.798372224,0.040334929,0.754785936,3.101395839,0.911052902,-0.784203646,0,21.15354167,95.07,28.69721336,-0.784171668,201.204,0.937,0.14055,0,100,36.2,98.14,271.1049724,179,1874,87.12,8.32149413,102,1,222.31,22675.62,7.65e-5,0.0045,0.2887792699724518,0.2933557699724518,107.116,175,365.85,3.21348,2.625,0.123474375,0.1667325,4.4163,151.09498687500002,Inf
"InChI=1S/C26H33N2P/c1-26(2,3)29(20-14-9-8-10-15-20)24-19-12-11-16-21(24)25-22(27(4)5)17-13-18-23(25)28(6)7/h8-19H,1-7H3","InChI=1S/C2H4O2.K/c1-2(3)4;/h1H3,(H,3,4);/q;+1/p-1",InChI=1S/C4H9NO/c1-4(6)5(2)3/h1-3H3,"InChI=1S/C11H8FN3/c1-15-7-14-10(6-13)11(15)8-4-2-3-5-9(8)12/h2-5,7H,1H3",InChI=1S/C6H4BrF/c7-5-3-1-2-4-6(5)8/h1-4H,"InChI=1S/C5H5N3/c1-8-3-5(2-6)7-4-8/h3-4H,1H3","InChI=1S/2C3H5.2ClH.2Pd/c2*1-3-2;;;;/h2*3H,1-2H2;2*1H;;/q2*-1;;;2*+2/p-2",KOAc,1-Bromo-2-fluorobenzene,7,tBPh-CPhos,1-Methyl-1H-imidazole-4-carbonitrile,C,[(Allyl)PdCl]2,C7,DMAc,ReqID_A24A8_090_001,15,3,3,A,3,3,1,0.05,2,0.0225,0.1,24,105,A24A8_090_001_03,"4:A,3",1.006,65.72,23.529,21.97457292,70.656,23.36701148,1.872101922,2.79314888,0.754785936,3.101395839,0.911052902,2.237370563,78.95,21.15354167,95.07,28.69721336,2.237376066,201.204,0.937,0.14055,2.38275837,100,36.2,98.14,271.1049724,179,1874,87.12,8.32149413,200,0.25,404.53,323624,1.5000000000000001e-4,0.0045,0.2887792699724518,0.2934292699724518,107.116,175,365.85,3.21348,2.625,0.123474375,0.3033975,4.4163,153.61441024500002,64.46915145869366
"InChI=1S/C18H33P.BF4/c1-4-10-16(11-5-1)19(17-12-6-2-7-13-17)18-14-8-3-9-15-18;2-1(3,4)5/h16-18H,1-15H2;/q;-1/p+1","InChI=1S/C2H4O2.K/c1-2(3)4;/h1H3,(H,3,4);/q;+1/p-1",InChI=1S/C4H9NO/c1-4(6)5(2)3/h1-3H3,"InChI=1S/C11H8FN3/c1-15-7-14-10(6-13)11(15)8-4-2-3-5-9(8)12/h2-5,7H,1H3",InChI=1S/C6H4BrF/c7-5-3-1-2-4-6(5)8/h1-4H,"InChI=1S/C5H5N3/c1-8-3-5(2-6)7-4-8/h3-4H,1H3","InChI=1S/2C3H5.2ClH.2Pd/c2*1-3-2;;;;/h2*3H,1-2H2;2*1H;;/q2*-1;;;2*+2/p-2",KOAc,1-Bromo-2-fluorobenzene,7,PCy3 HBF4,1-Methyl-1H-imidazole-4-carbonitrile,C,[(Allyl)PdCl]2,C7,DMAc,ReqID_A24A8_090_001,15,4,4,A,4,3,1,0.05,2,0.0225,0.1,24,105,A24A8_090_001_04,"4:A,4",0.907,20.218,65.831,21.97457292,70.656,23.36701148,-0.075173195,0.307119746,0.754785936,3.101395839,0.911052902,-0.491372333,7.26,21.15354167,95.07,28.69721336,-0.49146032,201.204,0.937,0.14055,0.21911115599999997,100,36.2,98.14,271.1049724,179,1874,87.12,8.32149413,108,5,368.24,7953.984,8.1e-5,0.0045,0.2887792699724518,0.2933602699724518,107.116,175,365.85,3.21348,2.625,0.123474375,0.27618,4.4163,151.42354553100003,691.0809485711446
InChI=1S/C18H15P/c1-4-10-16(11-5-1)19(17-12-6-2-7-13-17)18-14-8-3-9-15-18/h1-15H,"InChI=1S/C2H4O2.K/c1-2(3)4;/h1H3,(H,3,4);/q;+1/p-1",InChI=1S/C4H9NO/c1-4(6)5(2)3/h1-3H3,"InChI=1S/C11H8FN3/c1-15-7-14-10(6-13)11(15)8-4-2-3-5-9(8)12/h2-5,7H,1H3",InChI=1S/C6H4BrF/c7-5-3-1-2-4-6(5)8/h1-4H,"InChI=1S/C5H5N3/c1-8-3-5(2-6)7-4-8/h3-4H,1H3","InChI=1S/2C3H5.2ClH.2Pd/c2*1-3-2;;;;/h2*3H,1-2H2;2*1H;;/q2*-1;;;2*+2/p-2",KOAc,1-Bromo-2-fluorobenzene,7,PPh3,1-Methyl-1H-imidazole-4-carbonitrile,C,[(Allyl)PdCl]2,C7,DMAc,ReqID_A24A8_090_001,15,5,5,A,5,3,1,0.05,2,0.0225,0.1,24,105,A24A8_090_001_05,"4:A,5",1.199,45.497,44.109,21.97457292,70.656,23.36701148,1.006651069,1.031467501,0.754785936,3.101395839,0.911052902,0.303694291,28.15,21.15354167,95.07,28.69721336,0.303738841,201.204,0.937,0.14055,0.84958389,100,36.2,98.14,271.1049724,179,1874,87.12,8.32149413,49.6,100,262.29,130.09584,3.72e-5,0.0045,0.2887792699724518,0.2933164699724518,107.116,175,365.85,3.21348,2.625,0.123474375,0.19671750000000002,4.4163,151.97455576500002,178.88116471346933
"InChI=1S/C33H49P/c1-23(2)26-21-30(24(3)4)33(31(22-26)25(5)6)29-19-13-14-20-32(29)34(27-15-9-7-10-16-27)28-17-11-8-12-18-28/h13-14,19-25,27-28H,7-12,15-18H2,1-6H3","InChI=1S/C2H4O2.K/c1-2(3)4;/h1H3,(H,3,4);/q;+1/p-1",InChI=1S/C4H9NO/c1-4(6)5(2)3/h1-3H3,"InChI=1S/C11H8FN3/c1-15-7-14-10(6-13)11(15)8-4-2-3-5-9(8)12/h2-5,7H,1H3",InChI=1S/C6H4BrF/c7-5-3-1-2-4-6(5)8/h1-4H,"InChI=1S/C5H5N3/c1-8-3-5(2-6)7-4-8/h3-4H,1H3","InChI=1S/2C3H5.2ClH.2Pd/c2*1-3-2;;;;/h2*3H,1-2H2;2*1H;;/q2*-1;;;2*+2/p-2",KOAc,1-Bromo-2-fluorobenzene,7,X-Phos,1-Methyl-1H-imidazole-4-carbonitrile,C,[(Allyl)PdCl]2,C7,DMAc,ReqID_A24A8_090_001,15,6,6,A,6,3,1,0.05,2,0.0225,0.1,24,105,A24A8_090_001_06,"4:A,6",0.831,64.613,27.821,21.97457292,70.656,23.36701148,1.824727442,2.322454261,0.754785936,3.101395839,0.911052902,1.72072151,65.37,21.15354167,95.07,28.69721336,1.720601151,201.204,0.937,0.14055,1.972905822,100,36.2,98.14,271.1049724,179,1874,87.12,8.32149413,580,25,476.72,11059.904,4.35e-4,0.0045,0.2887792699724518,0.2937142699724518,107.116,175,365.85,3.21348,2.625,0.123474375,0.35754,4.4163,153.25870019700002,77.68171115316422
"InChI=1S/C35H53O2P/c1-23(2)26-21-29(24(3)4)33(30(22-26)25(5)6)34-31(36-7)19-20-32(37-8)35(34)38(27-15-11-9-12-16-27)28-17-13-10-14-18-28/h19-25,27-28H,9-18H2,1-8H3","InChI=1S/C5H10O2.K/c1-5(2,3)4(6)7;/h1-3H3,(H,6,7);/q;+1/p-1",InChI=1S/C4H9NO/c1-4(6)5(2)3/h1-3H3,"InChI=1S/C11H8FN3/c1-15-7-14-10(6-13)11(15)8-4-2-3-5-9(8)12/h2-5,7H,1H3",InChI=1S/C6H4BrF/c7-5-3-1-2-4-6(5)8/h1-4H,"InChI=1S/C5H5N3/c1-8-3-5(2-6)7-4-8/h3-4H,1H3","InChI=1S/2C3H5.2ClH.2Pd/c2*1-3-2;;;;/h2*3H,1-2H2;2*1H;;/q2*-1;;;2*+2/p-2",KOPiv,1-Bromo-2-fluorobenzene,7,BrettPhos,1-Methyl-1H-imidazole-4-carbonitrile,C,[(Allyl)PdCl]2,C7,DMAc,ReqID_A24A8_090_001,15,7,7,A,7,3,1,0.05,2,0.0225,0.1,24,105,A24A8_090_001_07,"4:A,7",0,4.676,81.323,21.97457292,70.656,23.36701148,-0.740298901,0.057499108,0.754785936,3.101395839,0.911052902,-0.765363709,0.07,21.15354167,95.07,28.69721336,-0.76535451,201.204,0.937,0.14055,0.002112642,44,25,140.22,246.7872,179,1874,87.12,8.32149413,29.7,0.1,536.77,159420.69,2.2275e-5,0.00198,0.2887792699724518,0.2907815449724518,107.116,175,365.85,3.21348,2.625,0.123474375,0.4025775,6.309900000000001,153.226544517,72528.4002291917
"InChI=1S/C14H23P/c1-13(2,3)15(14(4,5)6)12-10-8-7-9-11-12/h7-11H,1-6H3","InChI=1S/C5H10O2.K/c1-5(2,3)4(6)7;/h1-3H3,(H,6,7);/q;+1/p-1",InChI=1S/C4H9NO/c1-4(6)5(2)3/h1-3H3,"InChI=1S/C11H8FN3/c1-15-7-14-10(6-13)11(15)8-4-2-3-5-9(8)12/h2-5,7H,1H3",InChI=1S/C6H4BrF/c7-5-3-1-2-4-6(5)8/h1-4H,"InChI=1S/C5H5N3/c1-8-3-5(2-6)7-4-8/h3-4H,1H3","InChI=1S/2C3H5.2ClH.2Pd/c2*1-3-2;;;;/h2*3H,1-2H2;2*1H;;/q2*-1;;;2*+2/p-2",KOPiv,1-Bromo-2-fluorobenzene,7,PPhtBu2,1-Methyl-1H-imidazole-4-carbonitrile,C,[(Allyl)PdCl]2,C7,DMAc,ReqID_A24A8_090_001,15,8,8,A,8,3,1,0.05,2,0.0225,0.1,24,105,A24A8_090_001_08,"4:A,8",0,1.227,84.191,21.97457292,70.656,23.36701148,-0.887900147,0.014574004,0.754785936,3.101395839,0.911052902,-0.812479638,0,21.15354167,95.07,28.69721336,-0.812397405,201.204,0.937,0.14055,0,44,25,140.22,246.7872,179,1874,87.12,8.32149413,102,1,222.31,22675.62,7.65e-5,0.00198,0.2887792699724518,0.29083576997245175,107.116,175,365.85,3.21348,2.625,0.123474375,0.1667325,6.309900000000001,152.988586875,Inf
"InChI=1S/C26H33N2P/c1-26(2,3)29(20-14-9-8-10-15-20)24-19-12-11-16-21(24)25-22(27(4)5)17-13-18-23(25)28(6)7/h8-19H,1-7H3","InChI=1S/C5H10O2.K/c1-5(2,3)4(6)7;/h1-3H3,(H,6,7);/q;+1/p-1",InChI=1S/C4H9NO/c1-4(6)5(2)3/h1-3H3,"InChI=1S/C11H8FN3/c1-15-7-14-10(6-13)11(15)8-4-2-3-5-9(8)12/h2-5,7H,1H3",InChI=1S/C6H4BrF/c7-5-3-1-2-4-6(5)8/h1-4H,"InChI=1S/C5H5N3/c1-8-3-5(2-6)7-4-8/h3-4H,1H3","InChI=1S/2C3H5.2ClH.2Pd/c2*1-3-2;;;;/h2*3H,1-2H2;2*1H;;/q2*-1;;;2*+2/p-2",KOPiv,1-Bromo-2-fluorobenzene,7,tBPh-CPhos,1-Methyl-1H-imidazole-4-carbonitrile,C,[(Allyl)PdCl]2,C7,DMAc,ReqID_A24A8_090_001,15,9,9,A,9,3,1,0.05,2,0.0225,0.1,24,105,A24A8_090_001_09,"4:A,9",1.248,41.889,39.946,21.97457292,70.656,23.36701148,0.852245359,1.048640665,0.754785936,3.101395839,0.911052902,0.32254409,28.64,21.15354167,95.07,28.69721336,0.322555999,201.204,0.937,0.14055,0.864372384,44,25,140.22,246.7872,179,1874,87.12,8.32149413,200,0.25,404.53,323624,1.5000000000000001e-4,0.00198,0.2887792699724518,0.29090926997245176,107.116,175,365.85,3.21348,2.625,0.123474375,0.3033975,6.309900000000001,153.989624259,178.15194829153634
"InChI=1S/C18H33P.BF4/c1-4-10-16(11-5-1)19(17-12-6-2-7-13-17)18-14-8-3-9-15-18;2-1(3,4)5/h16-18H,1-15H2;/q;-1/p+1","InChI=1S/C5H10O2.K/c1-5(2,3)4(6)7;/h1-3H3,(H,6,7);/q;+1/p-1",InChI=1S/C4H9NO/c1-4(6)5(2)3/h1-3H3,"InChI=1S/C11H8FN3/c1-15-7-14-10(6-13)11(15)8-4-2-3-5-9(8)12/h2-5,7H,1H3",InChI=1S/C6H4BrF/c7-5-3-1-2-4-6(5)8/h1-4H,"InChI=1S/C5H5N3/c1-8-3-5(2-6)7-4-8/h3-4H,1H3","InChI=1S/2C3H5.2ClH.2Pd/c2*1-3-2;;;;/h2*3H,1-2H2;2*1H;;/q2*-1;;;2*+2/p-2",KOPiv,1-Bromo-2-fluorobenzene,7,PCy3 HBF4,1-Methyl-1H-imidazole-4-carbonitrile,C,[(Allyl)PdCl]2,C7,DMAc,ReqID_A24A8_090_001,15,10,10,A,10,3,1,0.05,2,0.0225,0.1,24,105,A24A8_090_001_10,"4:A,10",1.957,25.139,60.223,21.97457292,70.656,23.36701148,0.135422841,0.417431878,0.754785936,3.101395839,0.911052902,-0.370290306,10.44,21.15354167,95.07,28.69721336,-0.37019419,201.204,0.937,0.14055,0.315085464,44,25,140.22,246.7872,179,1874,87.12,8.32149413,108,5,368.24,7953.984,8.1e-5,0.00198,0.2887792699724518,0.29084026997245177,107.116,175,365.85,3.21348,2.625,0.123474375,0.27618,6.309900000000001,153.41311983900002,486.8936760567286
