new_index,base,ligand,solvent,concentration,temperature,yield,cost
0,KOAc,BrettPhos,DMAc,0.1,105,5.47,0.14577548199999998
1,KOAc,PPhtBu2,DMAc,0.1,105,0.0,0.04320091
2,KOAc,tBPh-CPhos,DMAc,0.1,105,78.95,0.269139791
3,KOAc,PCy3 HBF4,DMAc,0.1,105,7.26,0.032180612000000004
4,KOAc,PPh3,DMAc,0.1,105,28.15,0.026372917000000003
5,KOAc,X-Phos,DMAc,0.1,105,65.37,0.034677571000000004
6,KOPiv,BrettPhos,DMAc,0.1,105,0.07,0.144665615
7,KOPiv,PPhtBu2,DMAc,0.1,105,0.0,0.042106611
8,KOPiv,tBPh-CPhos,DMAc,0.1,105,28.64,0.267900458
9,KOPiv,PCy3 HBF4,DMAc,0.1,105,10.44,0.03109548
10,KOPiv,PPh3,DMAc,0.1,105,63.13,0.025379457
11,KOPiv,X-Phos,DMAc,0.1,105,77.41,0.03361798
12,CsOAc,BrettPhos,DMAc,0.1,105,4.74,0.191273824
13,CsOAc,PPhtBu2,DMAc,0.1,105,0.0,0.088701357
14,CsOAc,tBPh-CPhos,DMAc,0.1,105,29.31,0.314497136
15,CsOAc,PCy3 HBF4,DMAc,0.1,105,12.83,0.077697116
16,CsOAc,PPh3,DMAc,0.1,105,62.82,0.07197331
17,CsOAc,X-Phos,DMAc,0.1,105,87.83,0.08024276400000001
18,CsOPiv,BrettPhos,DMAc,0.1,105,0.0,0.232133425
19,CsOPiv,PPhtBu2,DMAc,0.1,105,0.0,0.129574623
20,CsOPiv,tBPh-CPhos,DMAc,0.1,105,7.62,0.355307874
21,CsOPiv,PCy3 HBF4,DMAc,0.1,105,8.85,0.118558908
22,CsOPiv,PPh3,DMAc,0.1,105,52.05,0.112815528
23,CsOPiv,X-Phos,DMAc,0.1,105,29.16,0.120946897
24,KOAc,BrettPhos,BuCN,0.1,105,18.44,0.163723596
25,KOAc,PPhtBu2,BuCN,0.1,105,0.0,0.061023208
26,KOAc,tBPh-CPhos,BuCN,0.1,105,6.17,0.286781867
27,KOAc,PCy3 HBF4,BuCN,0.1,105,0.0,0.049981981
28,KOAc,PPh3,BuCN,0.1,105,6.24,0.044161977000000005
29,KOAc,X-Phos,BuCN,0.1,105,47.3,0.052674599
30,KOPiv,BrettPhos,BuCN,0.1,105,56.05,0.162918073
31,KOPiv,PPhtBu2,BuCN,0.1,105,0.0,0.059928908
32,KOPiv,tBPh-CPhos,BuCN,0.1,105,6.39,0.285689257
33,KOPiv,PCy3 HBF4,BuCN,0.1,105,0.35,0.048890369
34,KOPiv,PPh3,BuCN,0.1,105,4.28,0.043052628
35,KOPiv,X-Phos,BuCN,0.1,105,56.14,0.051648175
36,CsOAc,BrettPhos,BuCN,0.1,105,64.48,0.209577546
37,CsOAc,PPhtBu2,BuCN,0.1,105,0.0,0.106523654
38,CsOAc,tBPh-CPhos,BuCN,0.1,105,5.88,0.332280087
39,CsOAc,PCy3 HBF4,BuCN,0.1,105,0.57,0.095486804
40,CsOAc,PPh3,BuCN,0.1,105,3.21,0.08963915800000001
41,CsOAc,X-Phos,BuCN,0.1,105,83.83,0.09845553
42,CsOPiv,BrettPhos,BuCN,0.1,105,55.41,0.250381171
43,CsOPiv,PPhtBu2,BuCN,0.1,105,0.0,0.14739692
44,CsOPiv,tBPh-CPhos,BuCN,0.1,105,5.41,0.373149744
45,CsOPiv,PCy3 HBF4,BuCN,0.1,105,0.33,0.136358227
46,CsOPiv,PPh3,BuCN,0.1,105,3.44,0.13051419
47,CsOPiv,X-Phos,BuCN,0.1,105,68.53,0.139211319
48,KOAc,BrettPhos,BuOAc,0.1,105,17.09,0.157572457
49,KOAc,PPhtBu2,BuOAc,0.1,105,0.0,0.05491753
