Ligand,Additive,Ni source,Solvent,Concentration,Photosource,HOMO,LUMO,softness,Dipole,Pol,Torsion,VBur,B1,B5,BL,VolNi,Volavg X,NBOC1,NBON1,NBOC2,NBOC3,NBOX,NBOC4,νCNssy,iCNssy,νCNsas,iCNsas,priority,yield,ee
L28,MgCl2,NiCl2DME,THF,0.033,Photoreactor,-0.206,-0.071,7.23,12.73,318.5,4.59,40.0,2.08,8.45,4.61,0.67,0.569,0.394,-0.406,-0.045,-0.218,-0.394,-0.219,1747,22.34,1728,49.26,1.0,PENDING,PENDING
L26,MgCl2,NiCl2DME,THF,0.1,Blue LED,-0.204,-0.072,7.25,14.03,543.0,16.83,41.0,2.23,10.9,4.62,0.677,0.697,0.419,-0.411,-0.058,-0.206,-0.418,-0.213,1674,12.5,1669,7.81,1.0,PENDING,PENDING
L26,MgCl2,NiBr2diglyme,THF,0.033,Photoreactor,-0.204,-0.072,7.25,14.03,543.0,16.83,41.0,2.23,10.9,4.62,0.677,0.697,0.419,-0.411,-0.058,-0.206,-0.418,-0.213,1674,12.5,1669,7.81,1.0,PENDING,PENDING
L9,No additive,NiCl2DME,dioxane,0.1,Photoreactor,-0.215,-0.087,6.61,8.59,240.5,0.12,36.9,1.88,7.17,3.41,0.643,0.416,0.51,-0.398,-0.081,-0.081,-0.429,-0.601,1719,12.1,1682,44.6,0.0,PENDING,PENDING
L9,No additive,NiCl2DME,dioxane,0.1,Blue LED,-0.215,-0.087,6.61,8.59,240.5,0.12,36.9,1.88,7.17,3.41,0.643,0.416,0.51,-0.398,-0.081,-0.081,-0.429,-0.601,1719,12.1,1682,44.6,0.0,PENDING,PENDING
L9,No additive,NiCl2DME,dioxane,0.05,Photoreactor,-0.215,-0.087,6.61,8.59,240.5,0.12,36.9,1.88,7.17,3.41,0.643,0.416,0.51,-0.398,-0.081,-0.081,-0.429,-0.601,1719,12.1,1682,44.6,0.0,PENDING,PENDING
L9,No additive,NiCl2DME,dioxane,0.05,Blue LED,-0.215,-0.087,6.61,8.59,240.5,0.12,36.9,1.88,7.17,3.41,0.643,0.416,0.51,-0.398,-0.081,-0.081,-0.429,-0.601,1719,12.1,1682,44.6,0.0,PENDING,PENDING
L9,No additive,NiCl2DME,dioxane,0.033,Photoreactor,-0.215,-0.087,6.61,8.59,240.5,0.12,36.9,1.88,7.17,3.41,0.643,0.416,0.51,-0.398,-0.081,-0.081,-0.429,-0.601,1719,12.1,1682,44.6,0.0,PENDING,PENDING
L9,No additive,NiCl2DME,dioxane,0.033,Blue LED,-0.215,-0.087,6.61,8.59,240.5,0.12,36.9,1.88,7.17,3.41,0.643,0.416,0.51,-0.398,-0.081,-0.081,-0.429,-0.601,1719,12.1,1682,44.6,0.0,PENDING,PENDING
L9,No additive,NiCl2DME,THF,0.1,Photoreactor,-0.215,-0.087,6.61,8.59,240.5,0.12,36.9,1.88,7.17,3.41,0.643,0.416,0.51,-0.398,-0.081,-0.081,-0.429,-0.601,1719,12.1,1682,44.6,0.0,PENDING,PENDING
