ligand_equivalent,ligand,base,solvent,objective_conversion,objective_selectivity,solvent_number_of_atoms,solvent_dipole,solvent_molar_volume,solvent_homo_energy,solvent_electronegativity,solvent_hardness,solvent_ES1_transition,solvent_ES1_osc_strength,solvent_ES2_transition,solvent_ES4_osc_strength,solvent_ES5_osc_strength,solvent_ES7_osc_strength,solvent_ES8_osc_strength,solvent_atom1_NPA_charge,solvent_atom1_ES_root_Mulliken_charge,solvent_c_min_NPA_Rydberg,solvent_c_min+1_ES_root_Mulliken_charge,solvent_c_max_NPA_charge,solvent_c_max-1_atom_number,ligand_bidentateQ,ligand_number_of_atoms_MING,ligand_dipole_MING,ligand_dipole_MAXG,ligand_dipole_MEAN,ligand_dipole_STDEV,ligand_molar_mass_MING,ligand_molar_volume_MING,ligand_molar_volume_MAXG,ligand_molar_volume_STDEV,ligand_electronic_spatial_extent_STDEV,ligand_homo_energy_MING,ligand_homo_energy_STDEV,ligand_lumo_energy_MING,ligand_lumo_energy_STDEV,ligand_electronegativity_STDEV,ligand_hardness_STDEV,ligand_E_scf_MING,ligand_E_scf_STDEV,ligand_G_thermal_correction_STDEV,ligand_ES_root_dipole_MING,ligand_ES_root_dipole_MAXG,ligand_ES_root_dipole_MEAN,ligand_ES_root_dipole_STDEV,ligand_ES_root_molar_volume_STDEV,ligand_ES1_transition_MING,ligand_ES1_osc_strength_MING,ligand_ES1_osc_strength_MAXG,ligand_ES1_osc_strength_MEAN,ligand_ES1_osc_strength_STDEV,ligand_ES2_transition_STDEV,ligand_ES2_osc_strength_MING,ligand_ES2_osc_strength_MAXG,ligand_ES2_osc_strength_STDEV,ligand_ES3_osc_strength_MING,ligand_ES3_osc_strength_MAXG,ligand_ES3_osc_strength_MEAN,ligand_ES3_osc_strength_STDEV,ligand_ES4_transition_STDEV,ligand_ES4_osc_strength_MING,ligand_ES4_osc_strength_STDEV,ligand_ES5_transition_STDEV,ligand_ES5_osc_strength_MING,ligand_ES5_osc_strength_MAXG,ligand_ES5_osc_strength_STDEV,ligand_ES6_transition_STDEV,ligand_ES6_osc_strength_MING,ligand_ES6_osc_strength_MAXG,ligand_ES6_osc_strength_Boltz,ligand_ES6_osc_strength_MEAN,ligand_ES6_osc_strength_STDEV,ligand_ES7_osc_strength_MING,ligand_ES7_osc_strength_STDEV,ligand_ES8_transition_STDEV,ligand_ES8_osc_strength_MING,ligand_ES8_osc_strength_MAXG,ligand_ES8_osc_strength_Boltz,ligand_ES8_osc_strength_MEAN,ligand_ES8_osc_strength_STDEV,ligand_ES9_transition_STDEV,ligand_ES9_osc_strength_STDEV,ligand_ES10_transition_STDEV,ligand_ES10_osc_strength_MAXG,ligand_ES10_osc_strength_STDEV,ligand_c_min_atom_number_MING,ligand_c_min_atom_number_STDEV,ligand_c_min_atom=C_MING,ligand_c_min_atom=O_MING,ligand_c_min_Mulliken_charge_MING,ligand_c_min_Mulliken_charge_STDEV,ligand_c_min_APT_charge_STDEV,ligand_c_min_NPA_charge_MING,ligand_c_min_NPA_charge_STDEV,ligand_c_min_NPA_core_MING,ligand_c_min_NPA_core_STDEV,ligand_c_min_NPA_valence_MING,ligand_c_min_NPA_Rydberg_MING,ligand_c_min_NPA_Rydberg_STDEV,ligand_c_min_NMR_shift_MING,ligand_c_min_NMR_anisotropy_MING,ligand_c_min_NMR_anisotropy_STDEV,ligand_c_min_ES_root_Mulliken_charge_STDEV,ligand_c_min_ES_root_NPA_charge_MING,ligand_c_min_ES_root_NPA_charge_STDEV,ligand_c_min_ES_root_NPA_Rydberg_MING,ligand_c_min_ES_root_NPA_Rydberg_STDEV,ligand_c_min+1_atom_number_MING,ligand_c_min+1_atom_number_STDEV,ligand_c_min+1_atom=C_MING,ligand_c_min+1_Mulliken_charge_STDEV,ligand_c_min+1_APT_charge_STDEV,ligand_c_min+1_NPA_charge_MING,ligand_c_min+1_NPA_charge_STDEV,ligand_c_min+1_NPA_core_MING,ligand_c_min+1_NPA_core_STDEV,ligand_c_min+1_NPA_Rydberg_STDEV,ligand_c_min+1_NMR_anisotropy_MING,ligand_c_min+1_NMR_anisotropy_STDEV,ligand_c_min+1_ES_root_Mulliken_charge_STDEV,ligand_c_min+1_ES_root_NPA_charge_STDEV,ligand_c_min+1_ES_root_NPA_Rydberg_MING,ligand_c_min+1_ES_root_NPA_Rydberg_STDEV,ligand_c_max_atom_number_MING,ligand_c_max_atom_number_STDEV,ligand_c_max_Mulliken_charge_MING,ligand_c_max_Mulliken_charge_MAXG,ligand_c_max_Mulliken_charge_STDEV,ligand_c_max_APT_charge_MING,ligand_c_max_APT_charge_STDEV,ligand_c_max_NPA_charge_MING,ligand_c_max_NPA_charge_STDEV,ligand_c_max_NPA_core_MING,ligand_c_max_NPA_core_STDEV,ligand_c_max_NPA_Rydberg_MAXG,ligand_c_max_NMR_shift_MING,ligand_c_max_NMR_shift_MAXG,ligand_c_max_NMR_anisotropy_MING,ligand_c_max_NMR_anisotropy_MAXG,ligand_c_max_NMR_anisotropy_MEAN,ligand_c_max_ES_root_Mulliken_charge_MING,ligand_c_max_ES_root_Mulliken_charge_MAXG,ligand_c_max_ES_root_Mulliken_charge_STDEV,ligand_c_max_ES_root_NPA_charge_MING,ligand_c_max_ES_root_NPA_charge_MAXG,ligand_c_max_ES_root_NPA_core_MING,ligand_c_max_ES_root_NPA_Rydberg_STDEV,ligand_c_max-1_atom_number_MING,ligand_c_max-1_atom=C_MING,ligand_c_max-1_atom=H_MING,ligand_c_max-1_APT_charge_STDEV,ligand_c_max-1_NPA_charge_STDEV,ligand_c_max-1_NMR_anisotropy_MING,ligand_c_min_%VBur_MING,ligand_c_min_%VBur_STDEV,ligand_c_min+1_%VBur_MING,ligand_c_min+1_%VBur_STDEV,ligand_c_max_%VBur_MING,ligand_c_max_%VBur_MAXG,ligand_c_max_%VBur_STDEV,ligand_c_max-1_%VBur_MING,ligand_c_max-1_%VBur_MAXG,ligand_c_max-1_%VBur_STDEV
0.125,P(tBu)3,NaOH(aq.),MeOH,39.6,67.17171717171718,6,1.6941,323.713,-0.26453,0.09464,0.1698899999999999,162.04,0.0001,129.71,0.0119,0.0417,0.1696,0.0316,-0.74126,-0.021092,0.01345,-0.32047,0.46633,5,0,40,1.0923,1.0923,1.0923,0.0,202.3191,2250.129,2250.129,0.0,0.0,-0.20012,0.0,0.06186,0.0,0.0,0.0,-814.8756666,0.0,0.0,1.1415,1.1415,1.1415,0.0,0.0,198.83,0.0711,0.0711,0.0711,0.0,0.0,0.0711,0.0711,0.0,0.0041,0.0041,0.0041,0.0,0.0,0.0145,0.0,0.0,0.0029,0.0029,0.0,0.0,0.003,0.003,0.003,0.003,0.0,0.0129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.0,12,0.0,1,0,-0.453372,0.0,0.0,-0.67429,0.0,1.99935,0.0,4.66349,0.01145,0.0,162.3979,29.6595,0.0,0.0,-0.67654,0.0,0.01248,0.0,11,0.0,1,0.0,0.0,-0.67429,0.0,1.99935,0.0,0.0,29.6444,0.0,0.0,0.0,0.01155,0.0,3,0.0,0.393548,0.393548,0.0,0.320086,0.0,0.81265,0.0,9.9987,0.0,0.03465,294.3981,294.3981,61.801,61.801,61.801,0.307655,0.307655,0.0,0.99468,0.99468,9.99775,0.0,24,0,1,0.0,0.0,7.7571,0.613963654,0.0,0.614652256,0.0,0.826112991,0.826112991,0.0,0.445705218,0.445705218,0.0
0.125,P(tBu)3,s. NaHCO3(aq.),MeOH,52.3,74.37858508604207,6,1.6941,323.713,-0.26453,0.09464,0.1698899999999999,162.04,0.0001,129.71,0.0119,0.0417,0.1696,0.0316,-0.74126,-0.021092,0.01345,-0.32047,0.46633,5,0,40,1.0923,1.0923,1.0923,0.0,202.3191,2250.129,2250.129,0.0,0.0,-0.20012,0.0,0.06186,0.0,0.0,0.0,-814.8756666,0.0,0.0,1.1415,1.1415,1.1415,0.0,0.0,198.83,0.0711,0.0711,0.0711,0.0,0.0,0.0711,0.0711,0.0,0.0041,0.0041,0.0041,0.0,0.0,0.0145,0.0,0.0,0.0029,0.0029,0.0,0.0,0.003,0.003,0.003,0.003,0.0,0.0129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.0,12,0.0,1,0,-0.453372,0.0,0.0,-0.67429,0.0,1.99935,0.0,4.66349,0.01145,0.0,162.3979,29.6595,0.0,0.0,-0.67654,0.0,0.01248,0.0,11,0.0,1,0.0,0.0,-0.67429,0.0,1.99935,0.0,0.0,29.6444,0.0,0.0,0.0,0.01155,0.0,3,0.0,0.393548,0.393548,0.0,0.320086,0.0,0.81265,0.0,9.9987,0.0,0.03465,294.3981,294.3981,61.801,61.801,61.801,0.307655,0.307655,0.0,0.99468,0.99468,9.99775,0.0,24,0,1,0.0,0.0,7.7571,0.613963654,0.0,0.614652256,0.0,0.826112991,0.826112991,0.0,0.445705218,0.445705218,0.0
0.125,P(tBu)3,CsF(aq.),MeOH,50.8,74.01574803149606,6,1.6941,323.713,-0.26453,0.09464,0.1698899999999999,162.04,0.0001,129.71,0.0119,0.0417,0.1696,0.0316,-0.74126,-0.021092,0.01345,-0.32047,0.46633,5,0,40,1.0923,1.0923,1.0923,0.0,202.3191,2250.129,2250.129,0.0,0.0,-0.20012,0.0,0.06186,0.0,0.0,0.0,-814.8756666,0.0,0.0,1.1415,1.1415,1.1415,0.0,0.0,198.83,0.0711,0.0711,0.0711,0.0,0.0,0.0711,0.0711,0.0,0.0041,0.0041,0.0041,0.0,0.0,0.0145,0.0,0.0,0.0029,0.0029,0.0,0.0,0.003,0.003,0.003,0.003,0.0,0.0129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.0,12,0.0,1,0,-0.453372,0.0,0.0,-0.67429,0.0,1.99935,0.0,4.66349,0.01145,0.0,162.3979,29.6595,0.0,0.0,-0.67654,0.0,0.01248,0.0,11,0.0,1,0.0,0.0,-0.67429,0.0,1.99935,0.0,0.0,29.6444,0.0,0.0,0.0,0.01155,0.0,3,0.0,0.393548,0.393548,0.0,0.320086,0.0,0.81265,0.0,9.9987,0.0,0.03465,294.3981,294.3981,61.801,61.801,61.801,0.307655,0.307655,0.0,0.99468,0.99468,9.99775,0.0,24,0,1,0.0,0.0,7.7571,0.613963654,0.0,0.614652256,0.0,0.826112991,0.826112991,0.0,0.445705218,0.445705218,0.0
0.125,P(tBu)3,1M K3PO4(aq.),MeOH,50.3,73.55864811133202,6,1.6941,323.713,-0.26453,0.09464,0.1698899999999999,162.04,0.0001,129.71,0.0119,0.0417,0.1696,0.0316,-0.74126,-0.021092,0.01345,-0.32047,0.46633,5,0,40,1.0923,1.0923,1.0923,0.0,202.3191,2250.129,2250.129,0.0,0.0,-0.20012,0.0,0.06186,0.0,0.0,0.0,-814.8756666,0.0,0.0,1.1415,1.1415,1.1415,0.0,0.0,198.83,0.0711,0.0711,0.0711,0.0,0.0,0.0711,0.0711,0.0,0.0041,0.0041,0.0041,0.0,0.0,0.0145,0.0,0.0,0.0029,0.0029,0.0,0.0,0.003,0.003,0.003,0.003,0.0,0.0129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.0,12,0.0,1,0,-0.453372,0.0,0.0,-0.67429,0.0,1.99935,0.0,4.66349,0.01145,0.0,162.3979,29.6595,0.0,0.0,-0.67654,0.0,0.01248,0.0,11,0.0,1,0.0,0.0,-0.67429,0.0,1.99935,0.0,0.0,29.6444,0.0,0.0,0.0,0.01155,0.0,3,0.0,0.393548,0.393548,0.0,0.320086,0.0,0.81265,0.0,9.9987,0.0,0.03465,294.3981,294.3981,61.801,61.801,61.801,0.307655,0.307655,0.0,0.99468,0.99468,9.99775,0.0,24,0,1,0.0,0.0,7.7571,0.613963654,0.0,0.614652256,0.0,0.826112991,0.826112991,0.0,0.445705218,0.445705218,0.0
0.125,P(tBu)3,KOH(aq.),MeOH,61.5,78.21138211382113,6,1.6941,323.713,-0.26453,0.09464,0.1698899999999999,162.04,0.0001,129.71,0.0119,0.0417,0.1696,0.0316,-0.74126,-0.021092,0.01345,-0.32047,0.46633,5,0,40,1.0923,1.0923,1.0923,0.0,202.3191,2250.129,2250.129,0.0,0.0,-0.20012,0.0,0.06186,0.0,0.0,0.0,-814.8756666,0.0,0.0,1.1415,1.1415,1.1415,0.0,0.0,198.83,0.0711,0.0711,0.0711,0.0,0.0,0.0711,0.0711,0.0,0.0041,0.0041,0.0041,0.0,0.0,0.0145,0.0,0.0,0.0029,0.0029,0.0,0.0,0.003,0.003,0.003,0.003,0.0,0.0129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.0,12,0.0,1,0,-0.453372,0.0,0.0,-0.67429,0.0,1.99935,0.0,4.66349,0.01145,0.0,162.3979,29.6595,0.0,0.0,-0.67654,0.0,0.01248,0.0,11,0.0,1,0.0,0.0,-0.67429,0.0,1.99935,0.0,0.0,29.6444,0.0,0.0,0.0,0.01155,0.0,3,0.0,0.393548,0.393548,0.0,0.320086,0.0,0.81265,0.0,9.9987,0.0,0.03465,294.3981,294.3981,61.801,61.801,61.801,0.307655,0.307655,0.0,0.99468,0.99468,9.99775,0.0,24,0,1,0.0,0.0,7.7571,0.613963654,0.0,0.614652256,0.0,0.826112991,0.826112991,0.0,0.445705218,0.445705218,0.0
0.125,P(tBu)3,Cs2CO3(aq.),MeOH,61.00000000000001,79.01639344262294,6,1.6941,323.713,-0.26453,0.09464,0.1698899999999999,162.04,0.0001,129.71,0.0119,0.0417,0.1696,0.0316,-0.74126,-0.021092,0.01345,-0.32047,0.46633,5,0,40,1.0923,1.0923,1.0923,0.0,202.3191,2250.129,2250.129,0.0,0.0,-0.20012,0.0,0.06186,0.0,0.0,0.0,-814.8756666,0.0,0.0,1.1415,1.1415,1.1415,0.0,0.0,198.83,0.0711,0.0711,0.0711,0.0,0.0,0.0711,0.0711,0.0,0.0041,0.0041,0.0041,0.0,0.0,0.0145,0.0,0.0,0.0029,0.0029,0.0,0.0,0.003,0.003,0.003,0.003,0.0,0.0129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.0,12,0.0,1,0,-0.453372,0.0,0.0,-0.67429,0.0,1.99935,0.0,4.66349,0.01145,0.0,162.3979,29.6595,0.0,0.0,-0.67654,0.0,0.01248,0.0,11,0.0,1,0.0,0.0,-0.67429,0.0,1.99935,0.0,0.0,29.6444,0.0,0.0,0.0,0.01155,0.0,3,0.0,0.393548,0.393548,0.0,0.320086,0.0,0.81265,0.0,9.9987,0.0,0.03465,294.3981,294.3981,61.801,61.801,61.801,0.307655,0.307655,0.0,0.99468,0.99468,9.99775,0.0,24,0,1,0.0,0.0,7.7571,0.613963654,0.0,0.614652256,0.0,0.826112991,0.826112991,0.0,0.445705218,0.445705218,0.0
0.125,P(tBu)3,KOAc,MeOH,67.5,52.8888888888889,6,1.6941,323.713,-0.26453,0.09464,0.1698899999999999,162.04,0.0001,129.71,0.0119,0.0417,0.1696,0.0316,-0.74126,-0.021092,0.01345,-0.32047,0.46633,5,0,40,1.0923,1.0923,1.0923,0.0,202.3191,2250.129,2250.129,0.0,0.0,-0.20012,0.0,0.06186,0.0,0.0,0.0,-814.8756666,0.0,0.0,1.1415,1.1415,1.1415,0.0,0.0,198.83,0.0711,0.0711,0.0711,0.0,0.0,0.0711,0.0711,0.0,0.0041,0.0041,0.0041,0.0,0.0,0.0145,0.0,0.0,0.0029,0.0029,0.0,0.0,0.003,0.003,0.003,0.003,0.0,0.0129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.0,12,0.0,1,0,-0.453372,0.0,0.0,-0.67429,0.0,1.99935,0.0,4.66349,0.01145,0.0,162.3979,29.6595,0.0,0.0,-0.67654,0.0,0.01248,0.0,11,0.0,1,0.0,0.0,-0.67429,0.0,1.99935,0.0,0.0,29.6444,0.0,0.0,0.0,0.01155,0.0,3,0.0,0.393548,0.393548,0.0,0.320086,0.0,0.81265,0.0,9.9987,0.0,0.03465,294.3981,294.3981,61.801,61.801,61.801,0.307655,0.307655,0.0,0.99468,0.99468,9.99775,0.0,24,0,1,0.0,0.0,7.7571,0.613963654,0.0,0.614652256,0.0,0.826112991,0.826112991,0.0,0.445705218,0.445705218,0.0
0.125,P(tBu)3,None,MeOH,74.9,53.271028037383175,6,1.6941,323.713,-0.26453,0.09464,0.1698899999999999,162.04,0.0001,129.71,0.0119,0.0417,0.1696,0.0316,-0.74126,-0.021092,0.01345,-0.32047,0.46633,5,0,40,1.0923,1.0923,1.0923,0.0,202.3191,2250.129,2250.129,0.0,0.0,-0.20012,0.0,0.06186,0.0,0.0,0.0,-814.8756666,0.0,0.0,1.1415,1.1415,1.1415,0.0,0.0,198.83,0.0711,0.0711,0.0711,0.0,0.0,0.0711,0.0711,0.0,0.0041,0.0041,0.0041,0.0,0.0,0.0145,0.0,0.0,0.0029,0.0029,0.0,0.0,0.003,0.003,0.003,0.003,0.0,0.0129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.0,12,0.0,1,0,-0.453372,0.0,0.0,-0.67429,0.0,1.99935,0.0,4.66349,0.01145,0.0,162.3979,29.6595,0.0,0.0,-0.67654,0.0,0.01248,0.0,11,0.0,1,0.0,0.0,-0.67429,0.0,1.99935,0.0,0.0,29.6444,0.0,0.0,0.0,0.01155,0.0,3,0.0,0.393548,0.393548,0.0,0.320086,0.0,0.81265,0.0,9.9987,0.0,0.03465,294.3981,294.3981,61.801,61.801,61.801,0.307655,0.307655,0.0,0.99468,0.99468,9.99775,0.0,24,0,1,0.0,0.0,7.7571,0.613963654,0.0,0.614652256,0.0,0.826112991,0.826112991,0.0,0.445705218,0.445705218,0.0
0.125,P(tBu)3,NaOH(aq.),MeCN,38.2,69.63350785340315,6,3.8131,425.305,-0.32637,0.14485,0.18152,159.68,0.0,153.54,0.021,0.021,0.0015,0.1877,-0.32748,-0.430804,0.00498,-0.430804,0.28376,5,0,40,1.0923,1.0923,1.0923,0.0,202.3191,2250.129,2250.129,0.0,0.0,-0.20012,0.0,0.06186,0.0,0.0,0.0,-814.8756666,0.0,0.0,1.1415,1.1415,1.1415,0.0,0.0,198.83,0.0711,0.0711,0.0711,0.0,0.0,0.0711,0.0711,0.0,0.0041,0.0041,0.0041,0.0,0.0,0.0145,0.0,0.0,0.0029,0.0029,0.0,0.0,0.003,0.003,0.003,0.003,0.0,0.0129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.0,12,0.0,1,0,-0.453372,0.0,0.0,-0.67429,0.0,1.99935,0.0,4.66349,0.01145,0.0,162.3979,29.6595,0.0,0.0,-0.67654,0.0,0.01248,0.0,11,0.0,1,0.0,0.0,-0.67429,0.0,1.99935,0.0,0.0,29.6444,0.0,0.0,0.0,0.01155,0.0,3,0.0,0.393548,0.393548,0.0,0.320086,0.0,0.81265,0.0,9.9987,0.0,0.03465,294.3981,294.3981,61.801,61.801,61.801,0.307655,0.307655,0.0,0.99468,0.99468,9.99775,0.0,24,0,1,0.0,0.0,7.7571,0.613963654,0.0,0.614652256,0.0,0.826112991,0.826112991,0.0,0.445705218,0.445705218,0.0
0.125,P(tBu)3,s. NaHCO3(aq.),MeCN,42.8,52.10280373831775,6,3.8131,425.305,-0.32637,0.14485,0.18152,159.68,0.0,153.54,0.021,0.021,0.0015,0.1877,-0.32748,-0.430804,0.00498,-0.430804,0.28376,5,0,40,1.0923,1.0923,1.0923,0.0,202.3191,2250.129,2250.129,0.0,0.0,-0.20012,0.0,0.06186,0.0,0.0,0.0,-814.8756666,0.0,0.0,1.1415,1.1415,1.1415,0.0,0.0,198.83,0.0711,0.0711,0.0711,0.0,0.0,0.0711,0.0711,0.0,0.0041,0.0041,0.0041,0.0,0.0,0.0145,0.0,0.0,0.0029,0.0029,0.0,0.0,0.003,0.003,0.003,0.003,0.0,0.0129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.0,12,0.0,1,0,-0.453372,0.0,0.0,-0.67429,0.0,1.99935,0.0,4.66349,0.01145,0.0,162.3979,29.6595,0.0,0.0,-0.67654,0.0,0.01248,0.0,11,0.0,1,0.0,0.0,-0.67429,0.0,1.99935,0.0,0.0,29.6444,0.0,0.0,0.0,0.01155,0.0,3,0.0,0.393548,0.393548,0.0,0.320086,0.0,0.81265,0.0,9.9987,0.0,0.03465,294.3981,294.3981,61.801,61.801,61.801,0.307655,0.307655,0.0,0.99468,0.99468,9.99775,0.0,24,0,1,0.0,0.0,7.7571,0.613963654,0.0,0.614652256,0.0,0.826112991,0.826112991,0.0,0.445705218,0.445705218,0.0
