Temperature,Volume,D,SM1,SM2,W,Mixing,Time,SM1B,SM2B,SM3B,WB,P,I1,I2,I3,I4
30,0.8,0.01,1,1.1,0.1,100,0.75,0.001007784,0.953777861,1.003293857,0.095440611,0.071581,4.77E-05,0.001230349,2.01E-07,7.36E-07
30,0.8,0.01,1,1.1,0.1,100,1.5,0.00105602,0.885941005,0.936406344,0.094311682,0.138204468,0.000178673,0.002359078,4.01E-07,2.88E-06
30,0.8,0.01,1,1.1,0.1,100,2.25,0.001107268,0.822995067,0.874248462,0.09327495,0.199964867,0.000375687,0.003395603,6.09E-07,6.34E-06
30,0.8,0.01,1,1.1,0.1,100,3,0.001161668,0.764591003,0.816493797,0.092322024,0.257217474,0.000624382,0.004348313,8.24E-07,1.10E-05
30,0.8,0.01,1,1.1,0.1,100,3.75,0.001219357,0.710404209,0.762837153,0.091445379,0.310291611,0.000912739,0.005224734,1.05E-06,1.68E-05
30,0.8,0.01,1,1.1,0.1,100,4.5,0.00128046,0.660132735,0.71299322,0.090638254,0.359492677,0.001230756,0.006031626,1.28E-06,2.36E-05
30,0.8,0.01,1,1.1,0.1,100,5.25,0.001345094,0.613495875,0.666695555,0.089894558,0.405103781,0.001570136,0.006775079,1.52E-06,3.14E-05
30,0.8,0.01,1,1.1,0.1,100,6,0.001413408,0.570232829,0.623695548,0.0892088,0.447387291,0.001924037,0.007460584,1.78E-06,4.01E-05
30,0.8,0.01,1,1.2,0.5,300,0.75,0.001134377,0.877456923,1.116961634,0.48932949,0.089287263,8.58E-05,0.007716091,1.50E-06,1.15E-06
30,0.8,0.01,1,1.2,0.5,300,1.5,0.001219226,0.788435821,1.0344587,0.482490914,0.171321896,0.000318298,0.014553128,3.04E-06,4.50E-06
30,0.8,0.01,1,1.2,0.5,300,2.25,0.001313375,0.70705823,0.95869635,0.476433124,0.246388637,0.000663429,0.020609283,4.67E-06,9.84E-06
30,0.8,0.01,1,1.2,0.5,300,3,0.001417918,0.632707698,0.889170306,0.471070581,0.315047444,0.001093456,0.025970084,6.41E-06,1.70E-05
30,0.8,0.01,1,1.2,0.5,300,3.75,0.00153408,0.564821669,0.825414325,0.466328258,0.377809791,0.001585844,0.030710545,8.28E-06,2.59E-05
30,0.8,0.01,1,1.2,0.5,300,4.5,0.001663362,0.50288717,0.766998176,0.462140077,0.435142445,0.002122396,0.034896727,1.03E-05,3.63E-05
30,0.8,0.01,1,1.2,0.5,300,5.25,0.00180727,0.446436567,0.713525702,0.458447605,0.487470861,0.002688529,0.038587048,1.24E-05,4.81E-05
30,0.8,0.01,1,1.2,0.5,300,6,0.001967707,0.395043847,0.664632414,0.455198967,0.535182831,0.003272655,0.041833364,1.47E-05,6.11E-05
30,0.8,0.1,1,1.1,0.5,300,0.75,0.017767127,0.416764421,0.527084692,0.50835662,0.522527112,0.000285626,0.004765078,1.64E-05,6.59E-06
30,0.8,0.1,1,1.1,0.5,300,1.5,0.030278826,0.186802416,0.286321375,0.50622917,0.762551697,0.000647614,0.00686499,4.40E-05,2.13E-05
30,0.8,0.1,1,1.1,0.5,300,2.25,0.045741924,0.09040875,0.17512151,0.505220943,0.873207061,0.000910617,0.007829054,8.81E-05,3.98E-05
30,0.8,0.1,1,1.1,0.5,300,3,0.059406708,0.049868443,0.121160552,0.504666617,0.926772961,0.001098022,0.008321986,0.000149509,6.01E-05
30,0.8,0.1,1,1.1,0.5,300,3.75,0.069353365,0.031046576,0.092462513,0.504303767,0.955165346,0.001240283,0.008609785,0.000224561,8.12E-05
30,0.8,0.1,1,1.1,0.5,300,4.5,0.076211723,0.021078815,0.075623556,0.504032186,0.971752435,0.001355407,0.008796718,0.000309208,0.000102838
30,0.8,0.1,1,1.1,0.5,300,5.25,0.080977384,0.015177748,0.064898369,0.503810268,0.982259986,0.001453267,0.008927378,0.000400467,0.000124755
30,0.8,0.1,1,1.1,0.5,300,6,0.084368737,0.011380147,0.057623268,0.503618402,0.989340516,0.001539498,0.009023352,0.000496358,0.000146865
30,0.8,0.1,1,1.2,0.1,100,0.75,0.029322479,0.22955515,0.514525594,0.10241131,0.638644882,0.000547544,0.00110712,7.08E-06,1.19E-05
30,0.8,0.1,1,1.2,0.1,100,1.5,0.064001033,0.048751545,0.298668955,0.102129927,0.853231949,0.001170081,0.00137184,2.37E-05,3.64E-05
30,0.8,0.1,1,1.2,0.1,100,2.25,0.087850292,0.011881431,0.237483304,0.10204414,0.913397269,0.00166604,0.001429573,5.18E-05,6.48E-05
30,0.8,0.1,1,1.2,0.1,100,3,0.096430294,0.003395876,0.219952251,0.101995459,0.93000471,0.002113099,0.001444696,8.54E-05,9.43E-05
30,0.8,0.1,1,1.2,0.1,100,3.75,0.099133616,0.001030764,0.214421742,0.101955623,0.934643153,0.002544236,0.001449144,0.000120746,0.000124063
30,0.8,0.1,1,1.2,0.1,100,4.5,0.099954013,0.000319358,0.212429863,0.101918314,0.935754171,0.002969729,0.001450508,0.000156692,0.000153937
30,0.8,0.1,1,1.2,0.1,100,5.25,0.100185549,9.99E-05,0.211520128,0.101881788,0.935787981,0.003392748,0.001450931,0.000192795,0.000183826
30,0.8,0.1,1,1.2,0.1,100,6,0.100233111,3.14E-05,0.210946568,0.101845521,0.935488603,0.003814275,0.001451064,0.000228929,0.000213709
30,1.2,0.01,1,1.1,0.5,100,0.75,0.001314712,0.975808843,1.127547901,0.524130602,0.031216371,8.43E-06,0.002473731,5.42E-07,1.80E-07
30,1.2,0.01,1,1.1,0.5,100,1.5,0.001345782,0.942900795,1.096962792,0.521750906,0.061751645,3.31E-05,0.004852908,1.06E-06,7.18E-07
30,1.2,0.01,1,1.1,0.5,100,2.25,0.001377774,0.911022922,1.067301493,0.519461796,0.091333089,7.26E-05,0.007141488,1.59E-06,1.60E-06
30,1.2,0.01,1,1.1,0.5,100,3,0.001410705,0.880143814,1.038537457,0.517259683,0.119989842,0.000125594,0.00934306,2.13E-06,2.83E-06
30,1.2,0.01,1,1.1,0.5,100,3.75,0.001444607,0.850233049,1.01064485,0.515141142,0.147750143,0.000190973,0.011461051,2.68E-06,4.37E-06
30,1.2,0.01,1,1.1,0.5,100,4.5,0.001479497,0.821261145,0.983598563,0.5131029,0.174641342,0.000267586,0.013498732,3.24E-06,6.24E-06
30,1.2,0.01,1,1.1,0.5,100,5.25,0.001515403,0.793199549,0.957374176,0.511141831,0.20068994,0.000354395,0.015459228,3.82E-06,8.41E-06
30,1.2,0.01,1,1.1,0.5,100,6,0.001552354,0.766020592,0.93194794,0.509254945,0.225921623,0.000450439,0.01734553,4.40E-06,1.09E-05
30,1.2,0.01,1,1.2,0.1,300,0.75,0.001366401,0.941364507,1.213253299,0.09531091,0.037195562,1.44E-05,0.000585712,1.37E-07,2.75E-07
30,1.2,0.01,1,1.2,0.1,300,1.5,0.001404016,0.904603169,1.176971973,0.094751296,0.073392624,5.61E-05,0.001145193,2.70E-07,1.10E-06
30,1.2,0.01,1,1.2,0.1,300,2.25,0.001442982,0.869112595,1.141910285,0.094216672,0.108319964,0.000122574,0.00167968,4.07E-07,2.45E-06
30,1.2,0.01,1,1.2,0.1,300,3,0.001483337,0.834851237,1.108030175,0.093705905,0.142020447,0.000211458,0.002190308,5.46E-07,4.30E-06
30,1.2,0.01,1,1.2,0.1,300,3.75,0.001525129,0.801778933,1.075294716,0.09321792,0.174535429,0.000320522,0.002678151,6.88E-07,6.65E-06
